4705,nina,Heat Burst,2+3,m,12,i16,+1,+2c,,"* Heat Burst
* Cancel to r45 with b,b
Power crush 8~"
4706,nina,Lapwing Kiss Shot,"H.CD.4,3,1+2","m,h,h,h,h,h","15,23,6,6,6,10","i14, i25, i28 i35 i42",-2,+13a (+12),,"* Balcony Break
* Weapon
* Combo from 1st hit
* Chip damage on block
* Partially uses remaining Heat time"
4707,nina,Shockwave Palm > Kiss Shot Penetrator,H.b+1+2,"m,m,h,h,h,h","5,20,5,5,5,5","i16 i8~10, i28 i35 i42 i49",+2,+33a (+7),,"* Balcony Break
* Weapon
* Combo from 1st hit only if the second hit connects on i8
* 2nd hit available only as combo from 1st
* If the second hit connects on i9~10, frame advantage on hit will be -16~-15
* Erases opponent recoverable health on hit
* Partially uses remaining Heat time"
4708,nina,Out of Sight &gt; Kiss Shot,"H.b+3+4,1+2","h,h,h,h,h","16,6,6,6,10","i14~15, i28 i35 i42",-2,+29a (+3),,"* Balcony Break
* Weapon
* Combo from 1st hit
* Chip damage on block
* Partially uses remaining Heat time"
4709,nina,Fluttering Kiss Shot,"H.ws1,1+2","m,h,h,h,h","17,6,6,6,10","i13~14,i25 i35 i39 i42",-2,+29a (+3),,"* Balcony Break
* Weapon
* Combo from 1st hit
* Chip damage on block
* Partially uses remaining Heat time"
4710,nina,Haematopus Kiss Shot,"H.ws4,3,1+2","m,h,h,h,h,h","15,23,6,6,6,10","i11~12, i25, i28 i35 i42 i13",-2,+29a (+3),,"* Balcony Break
* Combo from 2nd hit
* Combo from 1st CH
* Chip damage on block
* Partially uses remaining Heat time"
4711,nina,Bullet Assassination (Close),H.2+3,"m,h,h,h,h,m","20,30",i16 i28 i35 i42 i49 i90~91,+5~+6,-2d,,"* Heat Smash
* Spike
* Transition to attack throw on hit
* Enter CD r30 with F on block
* Deals chip damage on block
* Jails"
4712,nina,Bullet Assassination (Far),H.2+3,"m,h,h,h,h","20,9,12,9,12",i16 i28 i35 i42 i49,+14,+43a (+10),,"* Heat Smash
* Jails"
4713,nina,Death by Degrees,R.df+1+2,"m,t",55+,i20~21,-15~-14,+0d,,"* Rage Art
* Erases opponent's recoverable health on hit
* Damage increases with lower health
Power crush 8~"
4714,nina,Jab,1,h,5,i10,+1,+8,,
4715,nina,Left Right Combo,"1,2","h,h","5,10",",i10",-1,+5,,"* Jail from 1st attack with 8f delay
* Enter SS +0 +11 with D or U"
4716,nina,Biting Kiss Shot (1),"1,2,1","h,h,h","5,10,17",",i26~27",-3~-2,+2~+3,,"* Combo from 2nd CH with 4f delay
* Input can be delayed 6f"
4717,nina,Biting Kiss Shot,"1,2,1,1+2","h,h,h,h,h,h","5,10,17,6,6,6",",i25 i32 i39",-19,+34a (-24),,"* Balcony Break
* Weapon
* Jail from 3rd attack
* Combo from 2nd CH
* Chip damage on block"
4718,nina,Bermuda Triangle,"1,2,4","h,h,h","5,10,22",",i22",-6,+20a (+11),+49a,"* Balcony Break
* Combo from 2nd CH with 8f delay
* Input can be delayed 10f"
4719,nina,Double Explosion,"1,2,1+2","h,h,m","5,10,22",",i23",-14,+11a (+2),+10 +56a,"* Balcony Break
* Combo from 2nd CH with 7f delay
* Input can be delayed 10f"
4720,nina,PK Combo,"1,4","h,h","5,17",",i17~18",-4~-3,+1~+2,+50a,"* Combo from 1st hit
* Move can be delayed 2f"
4721,nina,PK Combo > Assassin's Blade,"1,4,1","h,h,m","5,17,21",",i25~26",-11~-10,+15g~+16g,+67a (+47a),Balcony Break
4722,nina,Right Jab,2,h,10,i10,+1,+7,,
4723,nina,Right Jab  > Spider Knee,"2,3","h,m","10,15",",i18",-13,+0d,,"* Knee
* Combo from 1st CH with 7f delay
* Input can be delayed 12f
* Transition to Triple Slaps throw automatically on standing front hit
* Throw is unbreakable"
4724,nina,Left High Kick,3,h,14,i14,-16,-5,,
4725,nina,Left High Kick > Spiral Explosion,"3,2","h,m","14,22",",i19",-9,+36a,,"* Balcony Break
* Side roll takes 42? frames
* Chip damage on block
* Can recover in r38 FC with D"
4726,nina,Flash Kicks (2),"3,3","h,h","14,4",",i17",-14,-3,,Jail from 1st attack
4727,nina,Flash Kicks (1),"3,3,3","h,h,h","14,4,6",",i17",-14,-3,,Jail from 1st attack
4728,nina,Flash Kicks,"3,3,3,4","h,h,h,h","14,4,6,20",",i24",-6,+20a (+11),,"* Balcony Break
* Combo from 3rd CH with 6f delay
* Input can be delayed 10f"
4729,nina,Head Ringer,"3,4","h,h","14,20",",i22",-6,+20a (+11),,"* Balcony Break
* Combo from 1st hit with 8f delay
* Input can be delayed 10f"
4730,nina,High Kick,4,h,15,i11,-9,+7,+7s,
4731,nina,Right High Kick to Spiral Explosion,"4,2","h,m","15,22",",i19",-9,+36a,,"* Balcony Break
* Side roll takes 42? frames
* Chip damage on block
* Can recover in r38 FC with D"
4732,nina,Easy Prey Kick Combo,"4,3","h,m","15,20",",i29~30",-2~-1,+5c~+6c,,Spike
4733,nina,High Kick,"4,4","h,h","15,21",",i28~39",-8,+3~+4,,"Combo from 1st CH
,Low crush 21~34 fs35~37"
4734,nina,High Kick > Deadly Hunter,"4,4,4","h,h,L","15,21,20",",i30~31",-12~-11,+4c~+5c,+46a,"Combo from 2nd CH
,High crush 16~55"
4735,nina,High Kick > Deadly Assault,"4,4,3+4","h,h,M,M","15,21,8,21",",i35~39 i43~49",-6~+0,+20a,,"* Spike
* Combo from 2nd CH
,Low crush 29~36 fs37~42"
4736,nina,Ray Hands,1+2,m,19,i16~17,-3~-2,+9~+10,,Homing
